word1,word2
dog,cat
car,automobile
king,queen
happy,joyful
book,novel
coffee,tea
doctor,physician
sun,moon
computer,laptop
bread,butter
teacher,professor
river,lake
fast,quick
apple,fruit
guitar,piano
cold,ice
house,home
big,large
phone,telephone
child,kid
money,wealth
music,song
angry,mad
beach,ocean
smart,intelligent
food,meal
bird,eagle
chair,furniture
love,hate
war,peace
night,day
summer,winter
friend,enemy
light,dark
rich,poor
tree,forest
cup,glass
street,road
movie,film
sick,ill
flower,rose
hospital,doctor
school,teacher
kitchen,cook
library,book
airport,plane
banana,monkey
winter,snow
beach,sand
fire,smoke
bee,honey
cloud,rain
garden,flower
student,homework
wedding,bride
restaurant,waiter
pencil,paper
key,lock
mountain,climb
ship,ocean
camera,photo
shoe,foot
clock,time
dog,loyal
elephant,large
lion,brave
ice,cold
fire,hot
dog,bark
cat,meow
bird,fly
fish,swim
car,vehicle
rose,flower
oak,tree
salmon,fish
violin,instrument
hammer,tool
shirt,clothing
hamburger,food
sparrow,bird
chair,seat
shark,whale
jazz,classical
python,snake
apple,technology
mouse,computer
bank,river
bat,animal
plant,factory
spring,season
cricket,sport
glass,window
bark,tree
book,shelf
camera,lens
train,station
bread,wheat
milk,cow
cheese,dairy
wine,grape
salt,pepper
sugar,sweet
coffee,morning
tea,china
water,drink
stone,rock
wind,breeze
storm,thunder
desert,dry
jungle,wild
island,sea
valley,hill
bridge,river
tunnel,underground
highway,car
bicycle,pedal
airplane,sky
boat,water
skateboard,wheels
helmet,safety
glove,hand
sock,foot
jacket,warm
umbrella,rain
sunglasses,sun
watch,wrist
ring,finger
necklace,neck
bracelet,arm
happiness,smile
sadness,tear
fear,scared
anger,rage
surprise,shock
disgust,nausea
trust,honest
hope,future
pride,accomplishment
shame,guilt
love,heart
courage,brave
apple,orange
red,blue
tall,short
young,old
hot,warm
cold,freezing
easy,simple
hard,difficult
empty,full
clean,dirty
quiet,silent
loud,noisy
beautiful,pretty
ugly,hideous
strong,powerful
weak,fragile
good,excellent
bad,terrible
new,fresh
old,ancient
